id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1309,REQ-FUNC-003,Functional,The system shall provide a secure workflow for users to reset their forgotten password via a time-sensitive link sent to their registered email address.,User Onboarding,FR-102: User Authentication - The system shall provide a 'Forgot Password' workflow.,[],"[""Password reset links must expire within 60 minutes.""]","['REQ-FUNC-001', 'REQ-INTG-005']",FALSE,high,"['Given a registered email address, the system sends an email containing a unique, time-limited password reset link.', 'The reset link directs the user to a page where they can enter and confirm a new password.', 'Upon successful password change, the old password is invalidated, and the user can log in with the new password.', 'The system displays an error if the reset link is expired or invalid.']"
1310,REQ-FUNC-006,Functional,The system shall allow a user with the 'Owner' role to invite other users to their merchant account by sending an email invitation to a specified address and assigning a role.,User Management,FR-202: Team Member Invitation - The 'Owner' role shall be able to invite team members via email to access the command center.,[],"[""Invitation links must expire within 7 days.""]","['REQ-BR-001', 'REQ-INTG-005']",FALSE,high,"[""An 'Owner' can access a user management interface."", ""The 'Owner' can enter a valid email address, select a role (Admin, Analyst, Marketer), and send an invitation."", 'The invited user receives an email with a unique, time-limited link to accept the invitation.', 'If the invited email is new, the user is guided through registration; if existing, they are added to the new team.']"
1311,REQ-FUNC-007,Functional,The system shall allow a user with the 'Owner' role to manage their team by changing member roles and removing members from the account.,User Management,FR-203: Role Assignment - The 'Owner' role shall be able to assign and change the roles of their team members.,[],"[""An Owner cannot change their own role or be removed by another user.""]",['REQ-FUNC-006'],FALSE,high,"[""The 'Owner' can view a list of all team members and their current roles."", ""The 'Owner' can change the role of any team member (except their own) to another available role."", ""The 'Owner' can remove a team member, which immediately revokes their access to the merchant account."", ""Role changes are reflected immediately in the user's permissions.""]"
1312,REQ-FUNC-009,Functional,"The system shall provide a sales trend analysis report with visualizations that can be filtered by date, compared against another period, and grouped by time interval.",Analytics,FR-302: Sales Trend Analysis - The system shall provide detailed reports allowing merchants to analyze sales trends over time.,[],[],['REQ-FUNC-008'],FALSE,high,"['The report displays sales data over the selected primary date range.', 'The user can select a secondary date range for comparison, and the visualization updates to show both periods.', 'The user can group the data visualization by hour, day, week, or month.', 'All filters and groupings work in combination.']"
1313,REQ-FUNC-010,Functional,The system shall provide customer segmentation reports based on purchasing behavior and location.,Analytics,FR-303: Customer Segmentation - The system shall provide reports that segment customers based on behavior.,[],[],['REQ-FUNC-008'],FALSE,high,"[""A report is available that segments customers as 'New' vs. 'Returning'."", 'A report is available that segments customers by total spending or AOV to identify high-value customers.', 'A report is available that segments customers by city and country.', 'All segmentation reports can be filtered by a date range.']"
1314,REQ-FUNC-011,Functional,The system shall provide a product performance report with key metrics that can be sorted and filtered by category.,Analytics,FR-304: Product Performance Reporting - The system shall provide reports to identify best and worst-selling products.,[],[],['REQ-FUNC-008'],FALSE,high,"['The report lists products with their corresponding Units Sold, Revenue Generated, and Conversion Rate.', 'The user can sort the product list in ascending or descending order by any of the key metrics.', 'The user can filter the product list to show only products from a specific category.', 'The report can be filtered by a date range.']"
1315,REQ-FUNC-012,Functional,The system shall generate and display a 30-day sales forecast using an Exponential Smoothing (ETS) algorithm based on historical sales data.,Analytics,FR-305: Sales Forecasting - The system shall provide a module that provides sales forecasts for the upcoming month based on historical data.,['Historical sales data contains sufficient patterns for the ETS algorithm to be effective.'],[],['REQ-FUNC-008'],FALSE,medium,"['The forecast module displays a projected sales figure for the next 30 days.', 'A trend line visualization for the forecast period is displayed.', 'The forecast is clearly labeled as an estimate and includes a 95% confidence interval.', 'The forecast requires at least 3 months of historical data to be generated.']"
1316,REQ-FUNC-013,Functional,The system shall provide a feature to export the data from any report or dashboard view into a CSV file.,Analytics,FR-306: Data Export - All reports and dashboard views shall have an option to be exported in CSV format.,[],[],['REQ-FUNC-008'],FALSE,medium,"[""An 'Export to CSV' button is present on all report and dashboard pages."", ""Clicking the button downloads a CSV file to the user's device."", 'The contents of the CSV file accurately reflect the data currently displayed in the UI, including any active filters or sorting.', 'The CSV file is well-formatted and can be opened by standard spreadsheet software.']"
1317,REQ-FUNC-014,Functional,The system shall provide an AI Assistant that allows users to query their business data using natural language questions.,AI Assistant,FR-401: Natural Language Queries (NLQ) - Merchants shall be able to ask natural language questions about their business data.,[],"[""All queries and responses must be strictly scoped to the data of the requesting merchant's account.""]","['REQ-INTG-006', 'REQ-FUNC-008']",FALSE,high,"['The UI provides a text input field for the user to ask questions.', ""The system correctly interprets questions related to defined KPIs and metrics (e.g., 'What were my total sales last week?')."", 'The system returns a concise and accurate answer, which may be text, a number, or a data visualization.', 'If a query cannot be understood, the system responds with a helpful message prompting the user to rephrase.']"
1318,REQ-FUNC-015,Functional,"The system's AI Assistant shall proactively analyze data to generate and display insight cards on the main dashboard, highlighting significant trends and anomalies.",AI Assistant,FR-402: Proactive Insights & Alerts - The AI assistant shall proactively generate and display insight cards on the dashboard.,"[""Sufficient historical data exists to establish a baseline for 'normal' performance.""]",[],['REQ-FUNC-008'],FALSE,high,"['The main dashboard contains a dedicated section for AI-generated insights.', ""The system generates an alert when a key metric deviates significantly from its historical norm (e.g., 'Sales are up 30% this week')."", ""The system generates an alert for data anomalies (e.g., 'A sudden spike in abandoned carts has been detected')."", 'Insights are presented in a clear, easy-to-understand format.']"
1319,REQ-FUNC-016,Functional,The system's AI Assistant shall provide actionable optimization suggestions based on the analysis of predefined data patterns.,AI Assistant,FR-403: Optimization Suggestions - The assistant shall provide suggestions based on predefined rules and patterns.,[],[],['REQ-FUNC-008'],FALSE,medium,"['Suggestions are displayed in the UI, separate from alerts and insights.', 'The system generates a suggestion based on a rule, such as suggesting a price review for a product with a high add-to-cart rate but low purchase rate.', 'Each suggestion is clearly explained and provides a rationale.', 'The set of rules for generating suggestions is extensible.']"
1320,REQ-FUNC-019,Functional,"The system shall provide a rich text editor for creating, editing, and managing reusable email templates for cart recovery campaigns.",Cart Recovery,"FR-503: Email Template Management - Merchants shall be able to create, edit, and manage multiple email templates for their recovery campaigns.",[],[],['REQ-INTG-005'],FALSE,high,"['The UI includes a rich text editor for composing email content.', 'The editor supports dynamic variables (e.g., {{customer_name}}, {{cart_items}}, {{checkout_link}}) that are populated at send time.', 'Users can save templates with a unique name for reuse in different campaigns.', 'Users can edit and delete existing templates.']"
1321,REQ-FUNC-020,Functional,The system shall provide a dashboard to analyze the performance and effectiveness of cart recovery campaigns.,Cart Recovery,FR-504: Performance Analytics - The module shall provide analytics on the effectiveness of the recovery campaigns.,['The email service provider offers webhooks or APIs to track open and click events.'],[],['REQ-FUNC-018'],FALSE,high,"['The dashboard displays key metrics: Emails Sent, Open Rate, Click-Through Rate, Carts Recovered, and Value of Recovered Sales.', 'All analytics can be filtered by a date range.', 'The user can filter the data to view the performance of a specific campaign.', 'The data is updated as new events (sends, opens, clicks, recoveries) occur.']"
1322,REQ-FUNC-021,Functional,The system shall provide a mechanism for merchants to authenticate their sending domain using SPF and DKIM records to improve email deliverability.,Cart Recovery,FR-505: Sending Domain Authentication - The system shall provide a settings area where merchants can configure their sending domain to improve email deliverability.,"[""The merchant has the technical ability to modify their domain's DNS records.""]",[],['REQ-INTG-005'],FALSE,medium,"[""A settings page displays the necessary DNS records (e.g., CNAME, TXT) for the merchant to add to their domain's DNS configuration."", 'The UI includes a button or mechanism to trigger a verification check for the DNS records.', 'The system provides clear feedback on whether the domain is successfully verified or if there are configuration issues.', ""Emails are sent from the merchant's authenticated domain once verified.""]"
1323,REQ-UI-001,UI,The system shall provide a user interface element that allows a user belonging to multiple merchant accounts to easily switch between them.,User Management,FR-204: Account Switching - The system shall provide a clear UI mechanism for users who belong to multiple merchant teams to switch between their accessible accounts.,[],[],['REQ-FUNC-006'],FALSE,medium,"['A dropdown menu or similar UI control is present in the user profile area.', 'The control lists all merchant accounts the user has access to.', 'Selecting an account from the list immediately switches the entire application context (data, settings, etc.) to that account.', 'The currently active account is clearly indicated in the UI.']"
1324,REQ-UI-002,UI,"The system shall include an in-app data dictionary that defines each metric and KPI, including its calculation formula and data source.",Analytics,FR-307: Data Dictionary - The system shall provide an accessible data dictionary within the application that clearly defines each metric and KPI.,[],[],['REQ-BR-005'],FALSE,medium,"['A dedicated page or modal is available for the data dictionary.', 'Each KPI from the dashboard (e.g., AOV, Conversion Rate) has an entry.', 'Each entry clearly explains what the metric measures and how it is calculated.', 'The dictionary is easily accessible from the main navigation or a help menu.']"
1325,REQ-UI-003,UI,"The user interface shall be fully responsive, providing an optimized and consistent user experience across desktop, tablet, and mobile screen sizes.",User Experience,"4.1 User Interfaces - The application shall be fully responsive and provide a seamless experience on desktop, tablet, and mobile devices.",[],[],[],FALSE,high,"['On desktop screens, the layout utilizes the available space effectively (e.g., multi-column layouts).', 'On tablet screens, the layout adapts to a single-column or touch-friendly multi-column view.', 'On mobile screens, the layout reflows to a single-column view, with navigation collapsing into a hamburger menu.', 'All interactive elements (buttons, forms) are easily usable on touch devices.']"
1326,REQ-UI-004,UI,The user interface must adhere to the Web Content Accessibility Guidelines (WCAG) 2.1 at conformance Level AA.,User Experience,4.1 User Interfaces - The UI shall adhere to Web Content Accessibility Guidelines (WCAG) 2.1 Level AA standards.,[],[],[],FALSE,high,"['All images have appropriate alternative text.', 'Color contrast ratios for text and interactive elements meet the 4.5:1 standard.', 'The application is fully navigable and operable using only a keyboard.', 'All form inputs have associated labels and interactive elements have clear focus states.']"
1327,REQ-UI-005,UI,"The system shall provide both a light and a dark theme, and the user's selected preference shall be persisted across sessions.",User Experience,"4.1 User Interfaces - The application shall feature a clean, data-focused design with a light and dark mode option, with the user's preference persisted.",[],[],[],FALSE,medium,"['A UI control is available for the user to switch between light and dark mode.', 'All UI components, text, and backgrounds adapt correctly to the selected theme.', ""The chosen theme is saved (e.g., in local storage) and automatically applied on the user's next visit."", ""The system can optionally respect the user's operating system theme preference.""]"
1328,REQ-INTG-004,Technical,"The system's AI Assistant shall integrate with the OpenAI API, using a Retrieval-Augmented Generation (RAG) pattern to provide contextually aware responses based on the merchant's data.",Integration,4.2 Software Interfaces - The AI Assistant shall integrate with the OpenAI API using a Retrieval-Augmented Generation (RAG) pattern.,['An OpenAI API key is available and the service is accessible.'],"[""The integration must ensure that no PII is sent to the OpenAI API unless explicitly required and covered by data processing agreements.""]",['REQ-PLAT-002'],FALSE,high,"['When a user asks a question, the system first retrieves relevant data or schema information from its own database (e.g., using pgvector).', ""This retrieved context is then passed to the OpenAI API along with the user's original query."", 'The system successfully receives a generated response from the OpenAI API.', 'The final answer presented to the user is based on the AI-generated response.']"
1329,REQ-PERF-001,Non-Functional,The system shall ensure that the 95th percentile (p95) server response time for all standard transactional API calls is below 200 milliseconds under normal load.,Performance,5.1 Performance Requirements - Standard user interface interactions and transactional API calls shall have a p95 response time below 200ms under normal operating conditions.,[],[],[],FALSE,high,"['Load testing confirms that p95 server response time for key endpoints remains under 200ms.', 'Application Performance Monitoring (APM) tools are configured to track and alert on this metric.', 'This metric applies to synchronous operations, excluding long-running asynchronous jobs.', ""'Normal load' is defined as 100 concurrent API requests per second per tenant.""]"
1330,REQ-PERF-002,Non-Functional,"The system shall process complex, data-intensive operations asynchronously to prevent blocking the user interface.",Performance,"5.1 Performance Requirements - Complex, data-intensive operations, such as generating large analytical reports, shall be processed asynchronously to avoid blocking the UI.",[],[],[],FALSE,high,"['When a user requests a large report, the system immediately returns a response indicating the job has started.', 'The report generation is handled by a background process.', 'The UI provides feedback that the operation is in progress.', 'The user is notified (e.g., via in-app notification) when the report is ready for viewing or download.']"
1331,REQ-PERF-003,Non-Functional,The system's frontend application shall achieve a Largest Contentful Paint (LCP) of less than 2.5 seconds for key pages on a standard desktop connection.,Performance,5.1 Performance Requirements - The application's key pages shall achieve a Largest Contentful Paint (LCP) of less than 2.5 seconds.,[],[],[],FALSE,high,"['Web performance auditing tools (e.g., Lighthouse) report an LCP score of under 2.5s for the login page, main dashboard, and primary reports.', 'This metric is measured on a simulated average mobile device over a 4G connection.', 'Code splitting, asset optimization, and server-side rendering are used to meet this target.']"
1332,REQ-REL-002,Non-Functional,The system must have a documented disaster recovery (DR) plan with a Recovery Point Objective (RPO) of no more than 24 hours and a Recovery Time Objective (RTO) of no more than 4 hours.,Reliability,5.2 Reliability and Disaster Recovery - A disaster recovery plan shall be in place to restore service from backups with a Recovery Point Objective (RPO) of 24 hours and a Recovery Time Objective (RTO) of 4 hours.,[],[],['REQ-REL-001'],FALSE,high,"['The DR plan documents the step-by-step process to restore service in a new region or environment.', 'The RPO of 24 hours is met by the daily backup schedule.', 'The RTO of 4 hours is validated through annual DR testing.', 'The DR plan includes restoring the application services, databases, and network configurations.']"
1333,REQ-SEC-005,Non-Functional,"The system shall maintain a detailed, immutable audit log of security-sensitive events, with a retention period of at least 12 months.",Security,"5.3 Security - The system shall maintain a detailed, immutable audit log of all security-sensitive events.",[],[],[],FALSE,high,"['The system logs all successful and failed login attempts.', 'The system logs all changes to user roles and permissions.', 'The system logs all team member invitations and removals.', 'The system logs all data export actions.', 'Logs include the timestamp, acting user ID, target resource, and outcome of the event.']"
1334,REQ-SCAL-001,Non-Functional,The system's backend architecture shall be composed of stateless serverless functions that can be automatically scaled by the hosting platform based on incoming traffic.,Scalability,5.4 Scalability - All backend serverless functions shall be stateless and designed to scale automatically.,[],[],['REQ-PLAT-001'],FALSE,high,"['Serverless functions do not store any session state locally between invocations.', 'All state is managed in external services like databases (PostgreSQL) or caches (Redis).', 'The Vercel platform is configured to automatically scale the number of function instances up or down based on request volume.', 'Load testing demonstrates that the system can handle traffic spikes without manual intervention.']"
1335,REQ-MNT-001,Non-Functional,The system's backend codebase must maintain a minimum of 80% unit test code coverage.,Maintainability,5.4 Maintainability - A minimum of 80% unit test code coverage shall be required for all backend services.,[],[],[],FALSE,high,"['The CI/CD pipeline is configured to run the test suite on every commit.', 'The pipeline calculates code coverage and fails the build if the coverage drops below 80%.', 'Coverage reports are generated and available to the development team.', 'Tests cover business logic, utility functions, and data access layers.']"
1336,REQ-DATA-001,Data,The system shall enforce a data retention policy where analytical data is retained for 24 months and unconverted abandoned cart records are purged after 90 days.,Data Management,5.5 Data Retention - Analytical data shall be retained for 24 months on a rolling basis. Abandoned cart records shall be purged after 90 days if not converted.,[],[],[],FALSE,high,"['An automated job runs periodically to purge analytical data older than 24 months.', 'An automated job runs periodically to purge abandoned cart records older than 90 days.', 'When a merchant terminates their account, their data is permanently deleted after a 90-day grace period.', 'The data retention policy is clearly stated in the Terms of Service.']"
1337,REQ-CMPL-001,Non-Functional,"The system shall provide functionality for a user with the 'Owner' role to manage Data Subject Access Requests (DSARs) on behalf of their customers, including data export and deletion.",Compliance,"5.6 Compliance - The system shall provide features to support Data Subject Access Requests (DSAR), including data export and deletion, manageable by the 'Owner' role.",[],[],['REQ-BR-001'],FALSE,high,"[""An 'Owner' can initiate a data export for a specific customer, which generates a machine-readable file (e.g., JSON) of all PII associated with that customer."", ""An 'Owner' can initiate a data deletion request for a specific customer, which anonymizes or deletes all PII for that customer from the system."", 'All DSAR actions are logged for auditing purposes.', 'The process is designed to comply with GDPR and CCPA requirements.']"
1338,REQ-DATA-002,Data,The system shall implement a Change Data Capture (CDC) based data pipeline to synchronize data from the OLTP database (PostgreSQL) to the OLAP data warehouse (ClickHouse).,Data Management,6.3 Data Pipeline - The system shall implement a data pipeline to synchronize data from the OLTP (PostgreSQL) to the OLAP (ClickHouse) database.,[],[],['REQ-PLAT-002'],FALSE,high,"['Changes in the PostgreSQL database are captured and streamed into a message queue (Upstash QStash).', 'An ELT process consumes messages from the queue, loading and transforming the data into the ClickHouse data warehouse.', 'The end-to-end latency of the pipeline (from OLTP commit to OLAP availability) is under 5 minutes.', 'The pipeline includes a dead-letter queue (DLQ) to handle messages that fail processing.']"